sentence_number	tsv_row_index	id	source	lowercased_utterance
40735	40735	books_20281	books	в детската стая беше съвсем тихо
40771	40771	books_20318	books	попита колебливо аника
40804	40804	books_20351	books	децата надойдоха със своите глинени петлета и ги надуваха с все сили докато маршируваха по градинската пътечка на вила вилекула
40834	40834	books_20382	books	най-напред тя се покатери върху покрива на бараката
40841	40841	books_20389	books	тази пола никога вече няма да е това което беше каза той мрачно
40855	40855	books_20403	books	това беше толкова забавно
40936	40936	books_20485	books	томи и аника не отговориха
40987	40987	books_20537	books	тя се втурна право към томи и аника взе ръцете им в своите и каза
40990	40990	books_20540	books	наоколо нямаше повече камъни върху които
40996	40996	books_20546	books	внезапно
41023	41023	books_20573	books	точно така го гледаше веднъж мама когато беше много много болен
41025	41025	books_20575	books	пипи я взе в обятията си
41044	41044	books_20594	books	не татко ефраим
41089	41089	books_20639	books	едва сега томи и аника разбраха всичко
41100	41100	books_20650	books	всички деца от градчето се струпаха около коня за да чуят какво ще каже
41105	41105	books_20655	books	конят се понесе в галоп и дечицата които се трупаха около него не можаха да чуят края
41117	41117	books_20667	books	попитаха томи и аника
41122	41122	books_20673	books	каква дума
41129	41129	books_20680	books	какво значи
41133	41133	books_20684	books	томи и аника се замислиха за миг
41146	41146	books_20697	books	тя се замисли
41173	41173	books_20725	books	отивам да си купя спунк отговори
41192	41192	books_20744	books	никога в живота си не съм виждала спунк
41268	41268	books_20820	books	да не би някой да е избягал
41289	41289	books_20841	books	крилата му бяха зелени и блестяха като метал
41329	41329	books_20883	books	да фланелка
41341	41341	books_20895	books	после разпитът започна
41357	41357	books_20911	books	понякога на човек му върви отбеляза пипи
41362	41362	books_20917	books	госпожица розенблум се усмихна кисело
41373	41373	books_20929	books	извика пипи
41403	41403	books_20959	books	възкликна пипи
41464	41464	books_21024	books	пол извикаха всички деца
41465	41465	books_21025	books	не вярвам някъде да има по-умни деца от вас
41467	41467	books_21027	books	тя извади от джобовете си цяла шепа златни парички и даде по една на всяко дете
41476	41476	books_21036	books	но не забравяйте никога че ви избавих от розовите вълнени гащи
41478	41478	books_21038	books	майката на томи и аника щеше да има гости няколко дами които беше поканила на кафе
41495	41495	books_21056	books	май аз ще бъда най-елегантната на това кафепиене мърмореше си тя доволно докато натискаше звънеца на входната врата
41497	41497	books_21058	books	край запалената камина бе подредена примамлива маса с лакомства
41509	41509	books_21075	books	всъщност аз съм много срамежлива и ако не нахлуя с команди така и ще се мотая в антрето без да посмея да вляза
41519	41519	books_21085	books	топваше сладките в кафето и ги тъпчеше в устата си та не можеше да продума колкото и да се опитваше
41530	41530	books_21097	books	ха ха ха заливаше се от смях пипи
41570	41570	books_21137	books	чуваше се из целия квартал
41588	41588	books_21155	books	ах поне да беше чистоплътна моята роза каза госпожа бергрен
41600	41600	books_21167	books	наистина обади се пак пипи
41612	41612	books_21179	books	да бях забелязала че някои неща ми липсват
41618	41618	books_21185	books	ставаше нощем за да открадне по нещо инак не можела да спи спокойно както сама обясняваше
41630	41630	books_21197	books	започваше с чашите за кафе с тези от стъкло и с някои по-леки неща за да завърши със супници
41662	41662	books_21229	books	баба трябваше този ден сама да доизпочупи всичко
41679	41679	books_21247	books	от време на време правеше гимнастически упражнения на стълбата и то какви
41689	41689	books_21258	books	томи и аника така се превиваха от смях че едва не паднаха от креватите си
41745	41745	books_21315	books	тъй че няма какво повече да говорим
41762	41762	books_21334	books	томи и аника вървяха след тях хванати за ръце
41778	41778	books_21350	books	какво само въздишате
41795	41795	books_21367	books	внезапно аника се захлупи на масата и избухна в плач
41798	41798	books_21370	books	ах как ще се радваме когато ни пишеш това
41835	41835	books_21407	books	децата боледуваха и докторът смята че имат нужда от промяна на въздуха
41875	41875	books_21448	books	когато спуснаха мостика тълпата гръмко заликува
41926	41926	books_21499	books	тя коленичи и започна да души наоколо
41939	41939	books_21512	books	аз съвсем не мноко хубав бял принцес отговори пипи на развален корекоредутски
41941	41941	books_21514	books	тя скочи на земята
41961	41961	books_21535	books	бели деца обича уморение отговори пипи
42024	42024	books_21603	books	първата част от пътя не беше много трудна
42049	42049	books_21628	books	тогава пристигна пипи и направи нещо много странно
42055	42055	books_21634	books	предположи момо
42056	42056	books_21635	books	сопна се пипи й изтри очите си
42069	42069	books_21648	books	биха могли да прекарат там няколко седмици без да огладнеят
42105	42105	books_21685	books	ето че сгодният случай не закъснял
42142	42142	books_21722	books	никога не съм казвала подобно нещо
42168	42168	books_21748	books	ама че щуротия възрази
42169	42169	books_21749	books	как може сам да си гризе носа
42189	42189	books_21770	books	изръмжа бък и отиде с джим зад един храст за да се преоблекат
42190	42190	books_21771	books	пипи ти нали изобщо нямаш дядо
42193	42193	books_21774	books	трябва ли на всяка цена да имам
42209	42209	books_21790	books	джим и бък се скриха пак зад храстите и се облякоха
42240	42240	books_21823	books	пътят до пещерата не се стори особено привлекателен на джим и бък
42244	42244	books_21827	books	хайде ти джим натърти бък
42249	42249	books_21832	books	гледай да се държиш здраво за да не паднеш окуражи го пипи
42281	42281	books_21864	books	после извика нагоре
42359	42359	books_21942	books	изкрещя бък
42374	42374	books_21957	books	тя ги понесе към лодката и ги тръшна в нея
42391	42391	books_21974	books	за малко не станаха нещастия
42403	42403	books_21986	books	това пътешествие се оказа много полезно за красотата ми казваше тя доволно
42434	42434	books_22017	books	да тъй минаваха дните
42468	42468	books_22051	books	а вила вилекула беше съвсем тъмна и покрита със сняг
42480	42480	books_22063	books	как ги разцелуваха каква празнична трапеза наредиха и как ги завиха в креватчетата им когато си легнаха
42501	42501	books_22085	books	в печката пламтеше огън а край сандъка за дърва беше застанал конят който вежливо ги поздрави с копито
42504	42504	books_22089	books	о пипи промълви аника
42506	42506	books_22091	books	как успя да приготвиш всичко това
42515	42515	books_22100	books	точно на място го каза рече пипи
42517	42517	books_22102	books	трябва да си ги намерите сами
42545	42545	books_22130	books	и аз
42557	42557	books_22142	books	какви хапчета
42560	42560	books_22145	books	тя затършува из шкафовете и чекмеджетата и след малко се върна с нещо което приличаше досущ на три грахови зърна
42562	42562	books_22147	books	така си мислиш възрази пипи
42580	42580	books_22165	books	по няколко метра дневно
42600	42600	books_22185	books	пипи им даде по едно хапче смалидон
42643	42643	books_22228	books	дано погледне насам за да й помахаме прошепна томи
42668	42668	books_22255	books	насочил пушката прицелил се и дръпнал спусъка
42684	42684	books_22271	books	ама че работа казал
42787	42787	books_22375	books	счетоводителят гамберони направил сметка и доказал че град бусто арзицио е направил икономия възлизаща на два супермилиона и седем сантиметра
42811	42811	books_22399	books	аз кихнах повече пъти от вас казала женицата
42886	42886	books_22475	books	големият пътешественик и известен изследовател джованино денгуба попаднал веднъж в страната на маслените хора
42925	42925	books_22515	books	тежко ни ако не я намерим преди да се върнат от работа родителите й мърморела бабата уплашена
42960	42960	books_22550	books	аз ще ви закарам у вас казал селянинът
42965	42965	books_22555	books	да измисляме числа
42988	42988	books_22583	books	бриф бруф браф
43009	43009	books_22604	books	а другото отговори светът е прекрасен
43049	43049	books_22645	books	да не говорим за президентите имало повече президенти отколкото просяци
43051	43051	books_22647	books	отсега нататък вместо да ми се покланяте ще ме пипате по носа
43061	43061	books_22657	books	джованино се върнал на село доволен
43086	43086	books_22682	books	попитал се старият господин
43099	43099	books_22696	books	човечето не го и погледнало
43131	43131	books_22729	books	само децата от време на време гледаха нагоре със завист а най-храбрите викаха
43162	43162	books_22765	books	почти заспивало когато изведнъж в тъмното се запалили два жълти светофара и се чуло зловещото шумолене на четирикрак ловец
43173	43173	books_22776	books	лапан пети гладният
43187	43187	books_22790	books	хлапакът бил рибарски син и морските работи ги разбирал много
43199	43199	books_22802	books	алиса се хвърлила в морето като горещо желаела да се превърне в морска звезда
43226	43226	books_22829	books	артилеристът натисна наново лоста и наново един празничен концерт от камбани се разнесе от окоп в окоп
43232	43232	books_22835	books	отговаряше неприятелският и войниците от двете войски изскачаха от окопите тичаха едни срещу други танцуваха и викаха
43250	43250	books_22854	books	ще споделя моята мисъл чувствам се малко озадачена
43256	43256	books_22860	books	каквото казах аз
43286	43286	books_22890	books	светът е тръгнал назад казала една от жабите
43313	43313	books_22917	books	ах истинската красота не е в къдриците
43349	43349	books_22953	books	значи това е било номер а
43379	43379	books_22983	books	всички които мартино запитвал казвали все това
43392	43392	books_22996	books	платното било осеяно с дупки и бурени но за щастие отдавна не било валяло та нямало локви
43418	43418	books_23023	books	на капрата седяло кучето което било дресирано куче знаело да държи юздите и да лае по конете когато задрямвали или излизали от пътя
43445	43445	books_23050	books	и без да чака отговор се отдалечил и изглеждал много по-прегърбен от преди
43448	43448	books_23053	books	искам пак да опитам решил
43473	43473	books_23078	books	доброто начало е половината на работата казала първата
43481	43481	books_23086	books	от мъка тя си подала оставката
43490	43490	books_23095	books	нямам друго
43523	43523	books_23128	books	нейните синове узнали чак след като минало много време и нямало смисъл вече да се тръгва на път за погребението
43524	43524	books_23129	books	но птичетата се връщали цялата зима на перваза на прозореца и се възмущавали че старата леля
43579	43579	books_23185	books	какво искаш от мене
43597	43597	books_23203	books	аз зная къде са рибите
43612	43612	books_23218	books	отишъл при вълшебника аполон разказал му неприятностите си и аполон му направил следната магия всичко което пипне с ръце да става злато
43619	43619	books_23225	books	трябвало да прекара нощта на едно кресло с вдигнати ръце за да не докосва нищо и на следното утро бил ужасно изтощен
43627	43627	books_23233	books	всичките му светлини внезапно се оцветили в синьо и хората не знаели какво да правят
43686	43686	books_23292	books	тринайсет делено на три е равно на четири и остава едно
43695	43695	books_23301	books	но аз
43755	43755	books_23363	books	слязъл бавно по стълбите на двора
43794	43794	books_23404	books	защо облаците не пишат писма
43803	43803	books_23413	books	добрият
43908	43908	books_23518	books	но тогава се случило нещо изключително
43935	43935	books_23545	books	какво ще стане ако хвърля от балкона господин мързелан
43971	43971	books_23582	books	и ето че сред многото гласове старият крадец различил сребърното гласче на едно дете което викало
43977	43977	books_23588	books	но веднага иначе ще ги изхвърля през прозореца добавил един сприхав глас който бил на стария маркиз венанцио ужаса за доставчиците
43982	43982	books_23593	books	в края на краищата чаят пак ще пристигне леден
43996	43996	books_23608	books	изкомандвал си сам той преди да натисне който и да е бутон
44005	44005	books_23617	books	хей къде беше през всичкото това време
44029	44029	books_23643	books	един си откъснал маргаритка и си я сложил на петлицата друг открил зелена ягодка и викнал
44155	44155	books_23775	books	какви хубави сънища сънувал тази нощ във войнишкото одеяло на татко си
44171	44171	books_23793	books	преди да изтекат двайсет и четири часа цялата махала узнала че има ранен партизанин
44182	44182	books_23805	books	жените изчервявайки се му разказали че всяко семейство си има въже но обясненията им не го задоволили
44197	44197	books_23820	books	строихме хубава къща точно на брега на сена
44229	44229	books_23852	books	феята бефана лети над покривите около нова година и подобно на дядо коледа оставя подаръци на децата
44234	44234	books_23857	books	яйцето било летящо
44235	44235	books_23858	books	прочетете цялата история на космическото пиленце
44251	44251	books_23877	books	за един жетон можело да се чуят четиринайсет хиляди лъжи
44344	44344	books_23974	books	трябваше да чакам на онази витрина докато се обади нашият таен агент
44353	44353	books_23983	books	вие забравяте професоре че там горе ние сме напред във времето с двайсет и пет години
44370	44370	books_24000	books	но това съм аз
44385	44385	books_24015	books	а да червената шапчица
44396	44396	books_24026	books	вълкът я попитал къде отиваш
44427	44427	books_24059	books	само преди миг бях десетка плачела тя а вижте ме сега
44478	44478	books_24112	books	а щом се върнела вкъщи още й било толкова весело на душата че пийвала глътка вино
44496	44496	books_24130	books	изтичала по стълбата в избата вдигнала една кана и рекла
44498	44498	books_24132	books	и отпила юнашки от каната
44510	44510	books_24144	books	след като изяла двете крилца отишла пак до прозореца и надникнала навън но не видяла господаря
44528	44528	books_24162	books	скоро гостът дошъл и почукал на пътната врата
44534	44534	books_24168	books	гостът чул че се точи нож и хукнал надолу по стълбата колкото му държали краката
44536	44536	books_24170	books	ама че хубостник сте поканили на гости
44558	44558	books_24192	books	верният йоханес отвърнал че е съгласен
44650	44650	books_24284	books	но кой знае това
44696	44696	books_24330	books	всеки осъден на смърт има право преди да умре да каже последната си дума
44715	44715	books_24349	books	но ето че камъкът проговорил и рекъл
44725	44725	books_24359	books	голяма радост обзела царя и като видял че царицата се прибира скрил верния йоханес и двете деца в един голям сандък
44751	44751	books_24385	books	ловецът се усмихнал и двамата тръгнали заедно
44765	44765	books_24399	books	старицата се съжалила над тях и рекла
44789	44789	books_24423	books	яденето беше хубаво дайте сега и хубаво вино
44794	44794	books_24428	books	сега ще вдигна наздравица за цялата тази сбирщина
44833	44833	books_24467	books	занапред няма да търпиш никакви лишения защото аз ще се погрижа за тебе
44840	44840	books_24474	books	всеки обед след като вдигали трапезата и всички се разотивали един верен придворен му донасял още едно блюдо
44892	44892	books_24526	books	завели го незабавно на морския бряг и пред очите му хвърлили във водата един златен пръстен
44922	44922	books_24556	books	дай да хапна от милинките и да пийна глътка вино много съм гладен и жаден
44939	44939	books_24573	books	остави тая работа не е за тебе
44947	44947	books_24581	books	моята питка е печена в пепел и бирата е прокиснала но ако нямаш нищо против да седнем и да хапнем
44970	44970	books_24604	books	след малко по пътя се задал клисарят и видял попа да върви по петите на момите
44994	44994	books_24629	books	изядох цяла пещ хляб но може ли само с толкова да се утоли такъв голям глад като моя
45056	45056	books_24693	books	тогава и аз ще тръгна по света да видя дали не мога да продам косата си също така изгодно
45058	45058	books_24695	books	ала накрая все пак попаднал на един остров където хората не знаели какво е коса
45071	45071	books_24709	books	всички в двореца чули този странен звук и толкова се изплашили че избягали от двореца
45098	45098	books_24736	books	той отишъл на тавана и като видял че момичето е казало истината решил да се ожени
45112	45112	books_24750	books	после му дала парче корав хляб и рекла
45189	45189	books_24827	books	слугата отговорил
45212	45212	books_24850	books	и когато кулата била готова царят казал на дъщеря си
45219	45219	books_24857	books	но времето минавало и по съвсем намалялата храна и вода те разбрали че седемте години скоро ще изтекат
45231	45231	books_24869	books	запътили се към царския дворец
45233	45233	books_24871	books	но случило се така че синът на царя в чието царство попаднали бил някогашният годеник на магда
45264	45264	books_24902	books	истинската му невеста
45293	45293	books_24931	books	уморена съм не мога
45329	45329	books_24968	books	отвърнала тя
45333	45333	books_24972	books	какво си казала на църковната врата
45352	45352	books_24991	books	къде е това момиче
45374	45374	books_25014	books	ханс не стой като втрещен
45427	45427	books_25067	books	но то не паднало в морето а върху една рибарска колиба на брега която веднага започнала да дими и всеки миг щяла да пламне
45438	45438	books_25078	books	когато влязъл в стаята на принцесата се стъписал от блясъка на хубостта й
45444	45444	books_25084	books	обещай ми
45483	45483	books_25123	books	те отвърнали
45512	45512	books_25153	books	като чул заповедта готвачът много се изплашил и казал на пъстрокожка
45526	45526	books_25167	books	аз съм бедно момиче и си нямам нито баща нито майка
45668	45668	books_25311	books	но всичко било напразно той я завел в залата
45673	45673	books_25316	books	спуснала се към вратата за да избяга но на стълбата я настигнал един мъж и я върнал
45706	45706	books_25350	books	ох мила кумице много лошо си изпатих
45728	45728	books_25372	books	ще ми се услади казал си той но най-напред ще довърша елека и тогава ще ям
45748	45748	books_25392	books	пред портата зърнал едно птиче което се било заплело в храстите и сложил и него в джоба си
45801	45801	books_25445	books	стигнали в пещерата а там около огъня седели други великани и всеки държал в ръце по една печена овца и ядял
45810	45810	books_25454	books	я какво търси този герой от войната в нашата мирна страна
45840	45840	books_25484	books	защо ме удари
45841	45841	books_25485	books	сънувал си отвърнал другият не съм те ударил
45894	45894	books_25538	books	хайде момче ако не ушиеш елека до вечерта ще ти скъсам ушите
45903	45903	books_25547	books	като решила че вече е заспал царицата станала отворила вратата и пак си легнала
45912	45912	books_25556	books	живяла някога една жена която имала три дъщери
45914	45914	books_25558	books	все й натяквали
45920	45920	books_25564	books	защо плачеш двуочке
45925	45925	books_25569	books	двуочке изтрий сълзите от лицето си и ще ти кажа нещо след което вече никога няма да гладуваш
45940	45940	books_25584	books	и рекла
45942	45942	books_25586	books	я изврещи сега за мене
45954	45954	books_25598	books	първия и втория път сестрите не обърнали на това никакво внимание но тъй като се случвало всеки ден замислили се и рекли
45989	45989	books_25633	books	ще дойда с тебе
46005	46005	books_25649	books	двуочка произнесла пред козата заклинанието
46006	46006	books_25650	books	ти хрупна си трева зелена
46017	46017	books_25661	books	ех триочке заспа ли
46036	46036	books_25680	books	тогава завистливата майка викнала на двуочка
46057	46057	books_25701	books	тогава майката рекла на едноочка
46122	46122	books_25766	books	когато навършила седем години била хубава като ясен ден по-хубава дори от самата царица
46129	46129	books_25773	books	ти царице си дарена
46130	46130	books_25774	books	с извънмерна красота
46134	46134	books_25778	books	тя намразила безкрайно момичето и вече не намирала покой ни денем ни нощем
46136	46136	books_25780	books	не искам вече да виждам това дете пред очите си
46144	46144	books_25788	books	помислил си той но все пак понеже не я убил сякаш камък паднал от сърцето му
46173	46173	books_25817	books	повикало другите погледнали и занемели от изненада после взели свещичките си и осветили снежанка
46185	46185	books_25829	books	поддържала в ред къщичката
46253	46253	books_25897	books	върви си по пътя не бива да пускам никого вътре
46292	46292	books_25936	books	тогава царицата й хвърлила един зловещ поглед изсмяла се и извикала
46317	46317	books_25961	books	ала джуджетата отвърнали
46330	46330	books_25974	books	при мене
46334	46334	books_25978	books	баща му заповядал сватбата да се отпразнува с голям разкош и великолепие
46340	46340	books_25984	books	друга с мойта красота
46369	46369	books_26013	books	ти си вълкът
46410	46410	books_26055	books	тогава тя накарала козлето да изтича до къщи и да донесе ножицата игла и конец а после започнала да разпаря търбуха на звяра
46463	46463	books_26109	books	този сън обхванал целия дворец
46465	46465	books_26112	books	дори огънят който горял в огнището почнал да тлее и заспал месото което било сложено да се пече престанало да цвърка
46467	46467	books_26114	books	вятърът утихнал и по дърветата пред двореца не трепвал листец
46468	46468	books_26115	books	но те не успявали защото преплетените тръни се държали здраво като че ли имали ръце и не пропускали момците
46547	46547	books_26195	books	като минат шест месеца през седмия ще дойда да си взема невестата
46582	46582	books_26230	books	успокой се кой може да влезе тук
46594	46594	books_26242	books	после влезли сестра му с принцовете и зет му мечокът и много се зарадвали че е дошъл да ги види
46622	46622	books_26270	books	и така той живял радостно и весело при орела принц цели седем дни
46644	46644	books_26293	books	ох как да те скрия
46667	46667	books_26316	books	но райналд видял че в последния миг птицата пуснала във водата на езерото едно златно яйце
46670	46670	books_26319	books	и щом само допрял ключа до нея тя се разтворила и той влязъл
46691	46691	books_26340	books	вървяло вървяло и видяло едно ловджийско куче което лежало край пътя и дишало тежко с отворена уста сякаш било тичало дълго време
46828	46828	books_26481	books	помислихме че не искате да се приберете
46839	46839	books_26493	books	не плачи гретел и спи спокойно аз ще измисля нещо
46847	46847	books_26501	books	глупако рекла майката това там не е твоето гълъбче а утринното слънце което е огряло вече комина
46860	46860	books_26515	books	но не го намерили
46869	46869	books_26524	books	сега можем да се наядем до насита
46870	46870	books_26525	books	аз ще изям едно късче от покрива а ти гретел хапни от сладкия прозорец
46871	46871	books_26526	books	хензел протегнал ръце нагоре и си отронил малко от покрива а гретел отчупила от стъклата и започнала да хруска
46886	46886	books_26541	books	уловила ги за ръце и ги завела в къщичката си
46889	46889	books_26544	books	но старицата само се престорила на гостоприемна а всъщност била зла вещица която дебнела децата а хлебната къщичка била само за примамка
46903	46903	books_26559	books	хей гретел викнала тя на момичето поразмърдай се и донеси вода
46910	46910	books_26566	books	първо ще опечем хляба рекла старицата аз запалих вече пещта и замесих тестото
46913	46913	books_26569	books	наумила си била щом гретел влезе в пещта да затвори вратичката та момичето да се опече
46952	46952	books_26608	books	та върви да спиш веднага
46958	46958	books_26614	books	веднъж един търговец продал цялата си стока на панаира и напълнил торбата си със злато и сребро
46986	46986	books_26643	books	дай ми малко милостиня
46990	46990	books_26647	books	ти имаш добро сърце и аз ще ти подаря нещо
47008	47008	books_26665	books	на един от прозорците стояли старица и чудно хубава девойка
47028	47028	books_26685	books	а той не видял вече нито веднъж жълтица под възглавницата си жълтици се появявали всяка заран под възглавницата на девойката а старицата ги взимала
47042	47042	books_26699	books	но кой би могъл да ми донесе
47073	47073	books_26730	books	да имаше нещо за ядене
47095	47095	books_26752	books	съгласил се той
47114	47114	books_26772	books	почукал на прозореца мелничарят подал глава и го попитал какво желае
47146	47146	books_26805	books	рекла тя
47149	47149	books_26808	books	отвърнал жабокът
47169	47169	books_26829	books	разплаках се и плачех без да мога да спра и тогава този жабок я извади от кладенеца и ми я донесе
47179	47179	books_26839	books	хайде малка царска дъще
47196	47196	books_26856	books	но царят се разгневил и рекъл
47209	47209	books_26869	books	обърнал се и викнал
47228	47228	books_26889	books	пасох много и съм сита
47237	47237	books_26899	books	козата изврещяла
47247	47247	books_26910	books	на други ден дошъл ред на средния син
47269	47269	books_26934	books	изтичал вкъщи набил момъка с аршина и го изгонил
47274	47274	books_26939	books	сита ли си козичке
47296	47296	books_26963	books	останал старият шивач сам с козата
47314	47314	books_26983	books	и викнал
47325	47325	books_26995	books	поздравили го те с добре дошъл и го поканили да седне и да похапне с тях защото ястията вече се били свършили
47388	47388	books_27060	books	само едно магаре
47391	47391	books_27063	books	викна ли му бриклебрит доброто добиче започва да бълва жълтици
47396	47396	books_27068	books	внимавайте сега
47428	47428	books_27101	books	и го оставил на мира
47431	47431	books_27105	books	тънък занаят рекъл бащата
47550	47550	books_27226	books	и го попитал
47601	47601	books_27279	books	я гледайте какъв хубав гердан си имам
47607	47607	books_27285	books	върви си и спокойно си легни
47629	47629	books_27307	books	ела при мене
47656	47656	books_27335	books	сега искам да зная кой е баща ми
47700	47700	books_27381	books	вечерта стигнали до един стар изоставен замък влезли вътре и легнали да спят
47771	47771	books_27457	books	войникът работил целия ден и вечерта вещицата му предложила да остане още една нощ
47812	47812	books_27498	books	викнал войникът
47815	47815	books_27501	books	след като помела той й заповядал да дойде пред креслото му протегнал нозете си и рекъл
47876	47876	books_27563	books	а за да не ни сполети тук нова злочестина да тръгнем заедно и да отидем в някоя чужда земя
47936	47936	books_27623	books	ох извади ме извади ме
47942	47942	books_27629	books	ох разклати ме разклати ме
47951	47951	books_27638	books	мързеланата се зарадвала и си мислела че сега идва ред на златния дъжд
47971	47971	books_27658	books	ние ще си го обичаме
47990	47990	books_27677	books	рекъл единият
48031	48031	books_27720	books	и влязъл в черупката
48034	48034	books_27723	books	попът е богат
48112	48112	books_27801	books	ти стой по-назад
48126	48126	books_27815	books	тя си имала къщичка в планината и живеела там с гъските си
48146	48146	books_27835	books	такова е и на гърбина
48152	48152	books_27841	books	съжалил се момъкът над старицата и казал
48160	48160	books_27849	books	бохчата тежи така като че в нея има камъни а ябълките и крушите сякаш са от олово
48172	48172	books_27861	books	откъде знаеш може да е за твое добро
48195	48195	books_27884	books	после казала на гъсарката
48210	48210	books_27900	books	пази я добре тя ще ти донесе щастие
48223	48223	books_27913	books	вие и трите ме обичате но онази от вас която ме обича най-силно ще вземе най-хубавия дял
48277	48277	books_27969	books	възкликнала девойката
48294	48294	books_27986	books	в това време царят царицата и младия граф вървели към къщата на старицата
48328	48328	books_28020	books	в този миг старицата изчезнала
48412	48412	books_28105	books	не можем да го държим такъв окъсан в мелницата та лежи в гъсарника
48467	48467	books_28160	books	ще се научиш най-сетне да настръхваш от страх помислил си клисарят и се изкачил преди него
48482	48482	books_28175	books	не знаеш ли къде е мъжът ми
48490	48490	books_28183	books	изплашил се бащата отишъл веднага у клисаря и нахокал сина си
48500	48500	books_28193	books	така ще овладея поне едно изкуство с което ще мога да си изкарвам хляба
48527	48527	books_28220	books	жалко за хубавите му очи ако е писано да не видят вече белия свят
48561	48561	books_28254	books	хванал ги за шиите сложил ги на резбарския тезгях и им стегнал здраво лапите с големия винт
48603	48603	books_28296	books	после казал
48629	48629	books_28322	books	а момъкът рекъл
48663	48663	books_28356	books	дошъл на другата сутрин царят и казал
48679	48679	books_28372	books	ей че настръхнах мила жено
48688	48688	books_28381	books	мила дъще пази добре тези три капки кръв те ще ти послужат из пътя
48722	48722	books_28415	books	взех я да ме придружава по пътя
48732	48732	books_28425	books	а в действителност се страхувала че конят може да издаде как е постъпила с принцесата
48778	48778	books_28471	books	ще й попари жал сърцето
48788	48788	books_28481	books	не бива да казвам и не мога да изплача пред жив човек мъката си защото дадох клетва иначе щях да бъда убита
48805	48805	books_28498	books	една придружителка измамила по такъв и такъв начин господаря си
48811	48811	books_28504	books	изгонили я и отпразнували сватбата на младия цар с истинската му невеста
48812	48812	books_28505	books	двамата управлявали мирно и честито царството си
48818	48818	books_28511	books	да царю отвърнала тя мога но при едно условие
48832	48832	books_28525	books	на другия ден царят отишъл да навести децата си но заварил само момичето
48838	48838	books_28531	books	много се наскърбил царят но не се сетил че царицата е извършила това злодеяние
48839	48839	books_28532	books	и понеже се страхувал че може да му откраднат и момичето решил да го вземе със себе си
