utterance_id,Name,Age,Participant,Utterance,TokenisedUtt,TokenisedUttLower,TokenisedUttNoPunct,UttLen,UtterancesCyrillic,TokenisedUttCyr,UtterancesCyrillicCleaned,UtterancesCyrillicCleanedNormalised,Manually_corrected,utt_cyr_norm_lowercase_nopunct
UTT_024822,SIM,1;09.02,SIM,"op, mushne mama, mushne, mushne vynka .","['op', ',', 'mushne', 'mama', ',', 'mushne', ',', 'mushne', 'vynka', '.']","['op', ',', 'mushne', 'mama', ',', 'mushne', ',', 'mushne', 'vynka', '.']","['op', 'mushne', 'mama', 'mushne', 'mushne', 'vynka']",6,"Оп, мушне мама, мушне, мушне вънка .","['оп', 'мушне', 'мама', 'мушне', 'мушне', 'вънка']","Оп , мушне мама , мушне , мушне вънка .","Оп , мушне мама , мушне , мушне вънка .",,оп мушне мама мушне мушне вънка
UTT_020490,SIM,1;05.10,SIM,"gore, gore, gore, gore .","['gore', ',', 'gore', ',', 'gore', ',', 'gore', '.']","['gore', ',', 'gore', ',', 'gore', ',', 'gore', '.']","['gore', 'gore', 'gore', 'gore']",4,"Горе, горе, горе, горе .","['горе', 'горе', 'горе', 'горе']","Горе , горе , горе , горе .","Горе , горе , горе , горе .",,горе горе горе горе
UTT_003462,ALE,1;08.22,ALE,ne shi [: izshi] .,"['ne', 'izshi', '.']","['ne', 'izshi', '.']","['ne', 'izshi']",2,Не ши [: изши] .,"['не', 'ши', 'изши']",Не ши .,Не изши .,,не изши
UTT_003073,ALE,1;08.22,ALE,I [: na] Baju Baju [: Zajo Bajo] pachenceto [: parchenceto] .,"['na', 'Baju', 'Zajo', 'Bajo', 'parchenceto', '.']","['na', 'baju', 'zajo', 'bajo', 'parchenceto', '.']","['na', 'baju', 'zajo', 'bajo', 'parchenceto']",5,И [: на] байу байу [: зайо байо] паченцето [: парченцето] .,"['и', 'на', 'байу', 'байу', 'зайо', 'байо', 'паченцето', 'парченцето']",И байу байу паченцето .,на зайо байо парченцето .,И Зайо Байо парченцето .,на зайо байо парченцето
UTT_034673,SIM,2;07.28,SIM,ami edni golemi topki.,"['ami', 'edni', 'golemi', 'topki', '.']","['ami', 'edni', 'golemi', 'topki', '.']","['ami', 'edni', 'golemi', 'topki']",4,Ами едни големи топки.,"['ами', 'едни', 'големи', 'топки']",Ами едни големи топки .,Ами едни големи топки .,,ами едни големи топки
UTT_000566,ALE,1;01.29,ALE,kako Tete .,"['kako', 'Tete', '.']","['kako', 'tete', '.']","['kako', 'tete']",2,Како тете .,"['како', 'тете']",Како тете .,Како тете .,,како тете
UTT_000664,ALE,1;01.29,ALE,ej tona .,"['ej', 'tona', '.']","['ej', 'tona', '.']","['ej', 'tona']",2,Ей тона .,"['ей', 'тона']",Ей тона .,Ей тона .,,ей тона
UTT_004221,ALE,1;10.12,ALE,gojam [: goljam] podauyk [: podaryk] .,"['goljam', 'podaryk', '.']","['goljam', 'podaryk', '.']","['goljam', 'podaryk']",2,Гоям [: голям] подауък [: подарък] .,"['гоям', 'голям', 'подауък', 'подарък']",Гоям подауък .,голям подарък .,,голям подарък
UTT_007127,ALE,2;03.12,ALE,"kako Teche, vika kuchenceto .","['kako', 'Teche', ',', 'vika', 'kuchenceto', '.']","['kako', 'teche', ',', 'vika', 'kuchenceto', '.']","['kako', 'teche', 'vika', 'kuchenceto']",4,"Како тече, вика кученцето .","['како', 'тече', 'вика', 'кученцето']","Како тече , вика кученцето .","Како тече , вика кученцето .",,како тече вика кученцето
UTT_036391,SIM,2;10.07,SIM,"vidja li, che iska sok?","['vidja', 'li', ',', 'che', 'iska', 'so', '?']","['vidja', 'li', ',', 'che', 'iska', 'so', '?']","['vidja', 'li', 'che', 'iska', 'so']",5,"Видя ли, че иска сок?","['видя', 'ли', 'че', 'иска', 'сок']","Видя ли , че иска сок ?","Видя ли , че иска сок ?",,видя ли че иска сок
UTT_043987,TEF,2;04.21,TEF,moi be .,"['moi', 'be', '.']","['moi', 'be', '.']","['moi', 'be']",2,Мои бе .,"['мои', 'бе']",Мои бе .,Мои бе .,Мои бе .,мои бе
UTT_034808,SIM,2;07.29,SIM,"taka, taka, taka.","['taka', ',', 'taka', ',', 'taka', '.']","['taka', ',', 'taka', ',', 'taka', '.']","['taka', 'taka', 'taka']",3,"Така, така, така.","['така', 'така', 'така']","Така , така , така .","Така , така , така .",,така така така
UTT_044855,TEF,2;05.25,TEF,tuka mojto bebe .,"['tuka', 'mojto', 'bebe', '.']","['tuka', 'mojto', 'bebe', '.']","['tuka', 'mojto', 'bebe']",3,Тука мойто бебе .,"['тука', 'мойто', 'бебе']",Тука мойто бебе .,Тука мойто бебе .,,тука мойто бебе
UTT_020023,SIM,1;04.25,SIM,"pepe [: pricheska], pepe [: pricheska] .","['pricheska', ',', 'pricheska', '.']","['pricheska', ',', 'pricheska', '.']","['pricheska', 'pricheska']",2,"Пепе [: прическа], пепе [: прическа] .","['пепе', 'прическа', 'пепе', 'прическа']","Пепе , пепе .",прическа прическа .,,прическа прическа
UTT_006630,ALE,2;03.12,ALE,dvete vyrvjat .,"['dvete', 'vyrvjat', '.']","['dvete', 'vyrvjat', '.']","['dvete', 'vyrvjat']",2,Двете вървят .,"['двете', 'вървят']",Двете вървят .,Двете вървят .,,двете вървят
UTT_006741,ALE,2;03.12,ALE,I az shte si vzema .,"['I', 'az', 'shte', 'si', 'vzema', '.']","['i', 'az', 'shte', 'si', 'vzema', '.']","['i', 'az', 'shte', 'si', 'vzema']",5,И аз ще си взема .,"['и', 'аз', 'ще', 'си', 'взема']",И аз ще си взема .,И аз ще си взема .,,и аз ще си взема
UTT_038162,TEF,1;11.04,TEF,eto aptito [: xapcheto] !,"['eto', 'xapcheto', '!']","['eto', 'xapcheto', '!']","['eto', 'xapcheto']",2,Ето аптито [: xапчето] !,"['ето', 'аптито', 'xапчето']",Ето аптито !,Ето xапчето !,,ето xапчето
UTT_009588,BOG,2;03.06,BOG,itenkata [: antenkata] sega she [: shte] pavi [: izpravim] .,"['antenkata', 'sega', 'shte', 'izpravim', '.']","['antenkata', 'sega', 'shte', 'izpravim', '.']","['antenkata', 'sega', 'shte', 'izpravim']",4,Итенката [: антенката] сега ше [: ще] пави [: изправим] .,"['итенката', 'антенката', 'сега', 'ше', 'ще', 'пави', 'изправим']",Итенката сега ше пави .,антенката сега ще изправим .,,антенката сега ще изправим
UTT_026148,SIM,1;09.21,SIM,"kola neja dzhip, neja dzhip .","['kola', 'neja', 'dzhip', ',', 'neja', 'dzhip', '.']","['kola', 'neja', 'dzhip', ',', 'neja', 'dzhip', '.']","['kola', 'neja', 'dzhip', 'neja', 'dzhip']",5,"Кола нея джип, нея джип .","['кола', 'нея', 'джип', 'нея', 'джип']","Кола нея джип , нея джип .","Кола нея джип , нея джип .",,кола нея джип нея джип
UTT_029069,SIM,2;00.24,SIM,Kaljancho [: Kalojancho] xvyrlim.,"['Kalojancho', 'xvyrlim', '.']","['kalojancho', 'xvyrlim', '.']","['kalojancho', 'xvyrlim']",2,Калянчо [: калоянчо] xвърлим.,"['калянчо', 'калоянчо', 'xвърлим']",Калянчо xвърлим .,калоянчо xвърлим .,,калоянчо xвърлим
UTT_021779,SIM,1;06.19,SIM,"mako [: mljako], mako [: mljako], mako [: mljako], mako [: mljako] .","['mljako', ',', 'mljako', ',', 'mljako', ',', 'mljako', '.']","['mljako', ',', 'mljako', ',', 'mljako', ',', 'mljako', '.']","['mljako', 'mljako', 'mljako', 'mljako']",4,"Мако [: мляко], мако [: мляко], мако [: мляко], мако [: мляко] .","['мако', 'мляко', 'мако', 'мляко', 'мако', 'мляко', 'мако', 'мляко']","Мако , мако , мако , мако .",мляко мляко мляко мляко .,,мляко мляко мляко мляко
UTT_029119,SIM,2;00.26,SIM,gushni Maca.,"['gushni', 'Maca', '.']","['gushni', 'maca', '.']","['gushni', 'maca']",2,Гушни маца.,"['гушни', 'маца']",Гушни маца .,Гушни маца .,,гушни маца
UTT_036176,SIM,2;10.03,SIM,"iska gi, mamo, iska gi.","['iska', 'gi', ',', 'mamo', ',', 'iska', 'gi', '.']","['iska', 'gi', ',', 'mamo', ',', 'iska', 'gi', '.']","['iska', 'gi', 'mamo', 'iska', 'gi']",5,"Иска ги, мамо, иска ги.","['иска', 'ги', 'мамо', 'иска', 'ги']","Иска ги , мамо , иска ги .","Иска ги , мамо , иска ги .",,иска ги мамо иска ги
UTT_022439,SIM,1;07.11,SIM,"kypa [: kyrpa], kypa [: kyrpa], kypa [: kyrpa] .","['kyrpa', ',', 'kyrpa', ',', 'kyrpa', '.']","['kyrpa', ',', 'kyrpa', ',', 'kyrpa', '.']","['kyrpa', 'kyrpa', 'kyrpa']",3,"Къпа [: кърпа], къпа [: кърпа], къпа [: кърпа] .","['къпа', 'кърпа', 'къпа', 'кърпа', 'къпа', 'кърпа']","Къпа , къпа , къпа .",кърпа кърпа кърпа .,,кърпа кърпа кърпа
UTT_001220,ALE,1;05.08,ALE,"ikam [: iskam] tatkoto, kote, batkoto, kote, batkoto, kote !","['iskam', 'tatkoto', ',', 'kote', ',', 'batkoto', ',', 'kote', ',', 'batkoto', ',', 'kote', '!']","['iskam', 'tatkoto', ',', 'kote', ',', 'batkoto', ',', 'kote', ',', 'batkoto', ',', 'kote', '!']","['iskam', 'tatkoto', 'kote', 'batkoto', 'kote', 'batkoto', 'kote']",7,"Икам [: искам] таткото, коте, баткото, коте, баткото, коте !","['икам', 'искам', 'таткото', 'коте', 'баткото', 'коте', 'баткото', 'коте']","Икам таткото , коте , баткото , коте , баткото , коте !","искам таткото , коте , баткото , коте , баткото , коте !",,искам таткото коте баткото коте баткото коте
UTT_002500,ALE,1;07.20,ALE,aukite [: malkite] michenca [: mechenca] .,"['malkite', 'mechenca', '.']","['malkite', 'mechenca', '.']","['malkite', 'mechenca']",2,Ауките [: малките] миченца [: меченца] .,"['ауките', 'малките', 'миченца', 'меченца']",Ауките миченца .,малките меченца .,Малките меченца .,малките меченца
UTT_027633,SIM,1;11.02,SIM,sh nosja az kolikata [: kolichkata] na a gazina [: magazina] .,"['sh', 'nosja', 'az', 'kolichkata', 'na', 'a', 'magazina', '.']","['sh', 'nosja', 'az', 'kolichkata', 'na', 'a', 'magazina', '.']","['sh', 'nosja', 'az', 'kolichkata', 'na', 'a', 'magazina']",7,Ш нося аз коликата [: количката] на а газина [: магазина] .,"['ш', 'нося', 'аз', 'коликата', 'количката', 'на', 'а', 'газина', 'магазина']",Ш нося аз коликата на а газина .,Ш нося аз количката на а магазина .,,ш нося аз количката на а магазина
UTT_004386,ALE,1;10.12,ALE,chupi [: da otchupi/da otchupja] a [: ot] pitkata pachenca [: parchenca] !,"['da', 'otchupi/da', 'otchupja', 'ot', 'pitkata', 'parchenca', '!']","['da', 'otchupi/da', 'otchupja', 'ot', 'pitkata', 'parchenca', '!']","['da', 'otchupi/da', 'otchupja', 'ot', 'pitkata', 'parchenca']",6,Чупи [: да отчупи/да отчупя] а [: от] питката паченца [: парченца] !,"['чупи', 'да', 'отчупи/да', 'отчупя', 'а', 'от', 'питката', 'паченца', 'парченца']",Чупи а питката паченца !,да отчупи да отчупя от питката парченца !,,да отчупи да отчупя от питката парченца
UTT_024366,SIM,1;08.22,SIM,"a, dugoto [: drugoto] .","['a', ',', 'drugoto', '.']","['a', ',', 'drugoto', '.']","['a', 'drugoto']",2,"А, дугото [: другото] .","['а', 'дугото', 'другото']","А , дугото .","А , другото .",,а другото
UTT_042253,TEF,2;02.16,TEF,ikam bijemi [: da priberem] .,"['ikam', 'da', 'priberem', '.']","['ikam', 'da', 'priberem', '.']","['ikam', 'da', 'priberem']",3,Икам бийеми [: да приберем] .,"['икам', 'бийеми', 'да', 'приберем']",Икам бийеми .,да приберем .,,да приберем
UTT_033789,SIM,2;06.24,SIM,toj e vnimatelen.,"['toj', 'e', 'vnimatelen', '.']","['toj', 'e', 'vnimatelen', '.']","['toj', 'e', 'vnimatelen']",3,Той е внимателен.,"['той', 'е', 'внимателен']",Той е внимателен .,Той е внимателен .,Той е внимателен .,той е внимателен
UTT_029661,SIM,2;01.25,SIM,"ej tuka, mamo.","['ej', 'tuka', ',', 'mamo', '.']","['ej', 'tuka', ',', 'mamo', '.']","['ej', 'tuka', 'mamo']",3,"Ей тука, мамо.","['ей', 'тука', 'мамо']","Ей тука , мамо .","Ей тука , мамо .",,ей тука мамо
UTT_001472,ALE,1;05.08,ALE,jejaj [: ljagaj] tuka !,"['ljagaj', 'tuka', '!']","['ljagaj', 'tuka', '!']","['ljagaj', 'tuka']",2,Йеяй [: лягай] тука !,"['йеяй', 'лягай', 'тука']",Йеяй тука !,лягай тука !,,лягай тука
UTT_043241,TEF,2;03.24,TEF,tez igachki [: igrachki] ne pibax [: pribrax] !,"['tez', 'igrachki', 'ne', 'pribrax', '!']","['tez', 'igrachki', 'ne', 'pribrax', '!']","['tez', 'igrachki', 'ne', 'pribrax']",4,Тез игачки [: играчки] не пибаx [: прибраx] !,"['тез', 'игачки', 'играчки', 'не', 'пибаx', 'прибраx']",Тез игачки не пибаx !,Тез играчки не прибраx !,,тез играчки не прибраx
UTT_034051,SIM,2;06.26,SIM,spinka mi se.,"['spinka', 'mi', 'se', '.']","['spinka', 'mi', 'se', '.']","['spinka', 'mi', 'se']",3,Спинка ми се.,"['спинка', 'ми', 'се']",Спинка ми се .,Спинка ми се .,,спинка ми се
UTT_004880,ALE,1;11.14,ALE,njama go !,"['njama', 'go', '!']","['njama', 'go', '!']","['njama', 'go']",2,Няма го !,"['няма', 'го']",Няма го !,Няма го !,,няма го
UTT_005506,ALE,2;00.13,ALE,I sega shi izde [: I sega iskam da jam] .,"['I', 'sega', 'shi', 'I', 'sega', 'iskam', 'da', 'jam', '.']","['i', 'sega', 'shi', 'i', 'sega', 'iskam', 'da', 'jam', '.']","['i', 'sega', 'shi', 'i', 'sega', 'iskam', 'da', 'jam']",8,И сега ши изде [: и сега искам да ям] .,"['и', 'сега', 'ши', 'изде', 'и', 'сега', 'искам', 'да', 'ям']",И сега ши изде .,и сега искам да ям .,,и сега искам да ям
UTT_032789,SIM,2;06.00,SIM,namerix si.,"['namerix', 'si', '.']","['namerix', 'si', '.']","['namerix', 'si']",2,Намериx си.,"['намериx', 'си']",Намериx си .,Намериx си .,,намериx си
UTT_036265,SIM,2;10.04,SIM,kato bjax malka li?,"['kato', 'bjax', 'malka', 'l', '?']","['kato', 'bjax', 'malka', 'l', '?']","['kato', 'bjax', 'malka', 'l']",4,Като бяx малка ли?,"['като', 'бяx', 'малка', 'ли']",Като бяx малка ли ?,Като бяx малка ли ?,,като бяx малка ли
UTT_006195,ALE,2;02.24,ALE,"ne, ne obicham djado .","['ne', ',', 'ne', 'obicham', 'djado', '.']","['ne', ',', 'ne', 'obicham', 'djado', '.']","['ne', 'ne', 'obicham', 'djado']",4,"Не, не обичам дядо .","['не', 'не', 'обичам', 'дядо']","Не , не обичам дядо .","Не , не обичам дядо .",,не не обичам дядо
UTT_035659,SIM,2;09.12,SIM,"vizh, vizh.","['vizh', ',', 'vizh', '.']","['vizh', ',', 'vizh', '.']","['vizh', 'vizh']",2,"Виж, виж.","['виж', 'виж']","Виж , виж .","Виж , виж .",,виж виж
UTT_033917,SIM,2;06.26,SIM,shte se vyrne s nejnija dzhip.,"['shte', 'se', 'vyrne', 's', 'nejnija', 'dzhip', '.']","['shte', 'se', 'vyrne', 's', 'nejnija', 'dzhip', '.']","['shte', 'se', 'vyrne', 's', 'nejnija', 'dzhip']",6,Ще се върне с нейния джип.,"['ще', 'се', 'върне', 'с', 'нейния', 'джип']",Ще се върне с нейния джип .,Ще се върне с нейния джип .,Ще се върне с нейния джип .,ще се върне с нейния джип
UTT_026252,SIM,1;09.21,SIM,steli [: posteli] Moni .,"['posteli', 'Moni', '.']","['posteli', 'moni', '.']","['posteli', 'moni']",2,Стели [: постели] мони .,"['стели', 'постели', 'мони']",Стели мони .,постели мони .,,постели мони
UTT_033285,SIM,2;06.14,SIM,"porastnali sa malki noktite, malki.","['porastnali', 'sa', 'malki', 'noktite', ',', 'malki', '.']","['porastnali', 'sa', 'malki', 'noktite', ',', 'malki', '.']","['porastnali', 'sa', 'malki', 'noktite', 'malki']",5,"Порастнали са малки ноктите, малки.","['порастнали', 'са', 'малки', 'ноктите', 'малки']","Порастнали са малки ноктите , малки .","Порастнали са малки ноктите , малки .",,порастнали са малки ноктите малки
UTT_032870,SIM,2;06.01,SIM,na masata.,"['na', 'masata', '.']","['na', 'masata', '.']","['na', 'masata']",2,На масата.,"['на', 'масата']",На масата .,На масата .,,на масата
UTT_036175,SIM,2;10.03,SIM,iska da gi obue.,"['iska', 'da', 'gi', 'obue', '.']","['iska', 'da', 'gi', 'obue', '.']","['iska', 'da', 'gi', 'obue']",4,Иска да ги обуе.,"['иска', 'да', 'ги', 'обуе']",Иска да ги обуе .,Иска да ги обуе .,,иска да ги обуе
UTT_037464,TEF,1;08.00,TEF,pish [: Pisha mi se] !,"['Pisha', 'mi', 'se', '!']","['pisha', 'mi', 'se', '!']","['pisha', 'mi', 'se']",3,Пиш [: пиша ми се] !,"['пиш', 'пиша', 'ми', 'се']",Пиш !,пиша ми се !,,пиша ми се
UTT_027998,SIM,1;11.07,SIM,"ikam [: iskam], ikam [: iskam] pampis [: pampers] .","['iskam', ',', 'iskam', 'pampers', '.']","['iskam', ',', 'iskam', 'pampers', '.']","['iskam', 'iskam', 'pampers']",3,"Икам [: искам], икам [: искам] пампис [: памперс] .","['икам', 'искам', 'икам', 'искам', 'пампис', 'памперс']","Икам , икам пампис .",искам искам памперс .,,искам искам памперс
UTT_002222,ALE,1;06.21,ALE,maxa [: da maxna] puapite [: chorapite] !,"['da', 'maxna', 'chorapite', '!']","['da', 'maxna', 'chorapite', '!']","['da', 'maxna', 'chorapite']",3,Маxа [: да маxна] пуапите [: чорапите] !,"['маxа', 'да', 'маxна', 'пуапите', 'чорапите']",Маxа пуапите !,да маxна чорапите !,,да маxна чорапите
UTT_036329,SIM,2;10.04,SIM,zashto s dumichki?,"['zashto', 's', 'dumichk', '?']","['zashto', 's', 'dumichk', '?']","['zashto', 's', 'dumichk']",3,Защо с думички?,"['защо', 'с', 'думички']",Защо с думички ?,Защо с думички ?,,защо с думички
UTT_008117,BOG,2;01.09,BOG,eto matutka [: mishutka]+//.,"['eto', 'mishutka', '//.']","['eto', 'mishutka', '//.']","['eto', 'mishutka', '//.']",3,Ето матутка [: мишутка]+//.,"['ето', 'матутка', 'мишутка']",Ето матутка .,Ето мишутка,,ето мишутка
UTT_042346,TEF,2;02.16,TEF,"tuka n mozhe, n mozhe !","['tuka', 'n', 'mozhe', ',', 'n', 'mozhe', '!']","['tuka', 'n', 'mozhe', ',', 'n', 'mozhe', '!']","['tuka', 'n', 'mozhe', 'n', 'mozhe']",5,"Тука н може, н може !","['тука', 'н', 'може', 'н', 'може']","Тука н може , н може !","Тука н може , н може !",,тука н може н може
UTT_032277,SIM,2;05.28,SIM,nali sym mu kaka.,"['nali', 'sym', 'mu', 'kaka', '.']","['nali', 'sym', 'mu', 'kaka', '.']","['nali', 'sym', 'mu', 'kaka']",4,Нали съм му кака.,"['нали', 'съм', 'му', 'кака']",Нали съм му кака .,Нали съм му кака .,,нали съм му кака
UTT_003319,ALE,1;08.22,ALE,sama tata [: vratata] toi [: se otvori] .,"['sama', 'vratata', 'se', 'otvori', '.']","['sama', 'vratata', 'se', 'otvori', '.']","['sama', 'vratata', 'se', 'otvori']",4,Сама тата [: вратата] тои [: се отвори] .,"['сама', 'тата', 'вратата', 'тои', 'се', 'отвори']",Сама тата тои .,Сама се отвори .,,сама се отвори
UTT_002182,ALE,1;06.21,ALE,panna [: padna] biitkata [: biskvitkata] .,"['padna', 'biskvitkata', '.']","['padna', 'biskvitkata', '.']","['padna', 'biskvitkata']",2,Панна [: падна] биитката [: бисквитката] .,"['панна', 'падна', 'биитката', 'бисквитката']",Панна биитката .,падна бисквитката .,,падна бисквитката
UTT_035706,SIM,2;09.12,SIM,iskash li da skachame?,"['iskash', 'li', 'da', 'skacham', '?']","['iskash', 'li', 'da', 'skacham', '?']","['iskash', 'li', 'da', 'skacham']",4,Искаш ли да скачаме?,"['искаш', 'ли', 'да', 'скачаме']",Искаш ли да скачаме ?,Искаш ли да скачаме ?,,искаш ли да скачаме
UTT_009853,BOG,2;04.05,BOG,"jeichkata [: lelichkata], jeichkata [: lelichkata] +...","['lelichkata', ',', 'lelichkata', '...']","['lelichkata', ',', 'lelichkata', '...']","['lelichkata', 'lelichkata', '...']",3,"Йеичката [: леличката], йеичката [: леличката] +...","['йеичката', 'леличката', 'йеичката', 'леличката']","Йеичката , йеичката . . .",леличката леличката . . .,,леличката леличката
UTT_040148,TEF,2;00.09,TEF,ej tova !,"['ej', 'tova', '!']","['ej', 'tova', '!']","['ej', 'tova']",2,Ей това !,"['ей', 'това']",Ей това !,Ей това !,,ей това
UTT_024487,SIM,1;08.22,SIM,ti rezhe kopche tam .,"['ti', 'rezhe', 'kopche', 'tam', '.']","['ti', 'rezhe', 'kopche', 'tam', '.']","['ti', 'rezhe', 'kopche', 'tam']",4,Ти реже копче там .,"['ти', 'реже', 'копче', 'там']",Ти реже копче там .,Ти реже копче там .,,ти реже копче там
UTT_019906,SIM,1;04.25,SIM,mynda [: myrda] batche [: bratche] .,"['myrda', 'bratche', '.']","['myrda', 'bratche', '.']","['myrda', 'bratche']",2,Мънда [: мърда] батче [: братче] .,"['мънда', 'мърда', 'батче', 'братче']",Мънда батче .,мърда братче .,Мърда братче .,мърда братче
UTT_023920,SIM,1;08.13,SIM,"bymchi [: brymchi], bymchi [: brymchi] .","['brymchi', ',', 'brymchi', '.']","['brymchi', ',', 'brymchi', '.']","['brymchi', 'brymchi']",2,"Бъмчи [: бръмчи], бъмчи [: бръмчи] .","['бъмчи', 'бръмчи', 'бъмчи', 'бръмчи']","Бъмчи , бъмчи .",бръмчи бръмчи .,"Бръмчи , бръмчи .",бръмчи бръмчи
UTT_037927,TEF,1;11.04,TEF,baba ej tam !,"['baba', 'ej', 'tam', '!']","['baba', 'ej', 'tam', '!']","['baba', 'ej', 'tam']",3,Баба ей там !,"['баба', 'ей', 'там']",Баба ей там !,Баба ей там !,,баба ей там
UTT_026305,SIM,1;09.24,SIM,"pusni, be .","['pusni', ',', 'be', '.']","['pusni', ',', 'be', '.']","['pusni', 'be']",2,"Пусни, бе .","['пусни', 'бе']","Пусни , бе .","Пусни , бе .",,пусни бе
UTT_036333,SIM,2;10.04,SIM,krija se da ne me vizhdash.,"['krija', 'se', 'da', 'ne', 'me', 'vizhdash', '.']","['krija', 'se', 'da', 'ne', 'me', 'vizhdash', '.']","['krija', 'se', 'da', 'ne', 'me', 'vizhdash']",6,Крия се да не ме виждаш.,"['крия', 'се', 'да', 'не', 'ме', 'виждаш']",Крия се да не ме виждаш .,Крия се да не ме виждаш .,,крия се да не ме виждаш
UTT_028919,SIM,2;00.20,SIM,mama telefoncheto.,"['mama', 'telefoncheto', '.']","['mama', 'telefoncheto', '.']","['mama', 'telefoncheto']",2,Мама телефончето.,"['мама', 'телефончето']",Мама телефончето .,Мама телефончето .,,мама телефончето
UTT_024597,SIM,1;08.26,SIM,"djado, dado [: djado], djado .","['djado', ',', 'djado', ',', 'djado', '.']","['djado', ',', 'djado', ',', 'djado', '.']","['djado', 'djado', 'djado']",3,"Дядо, дадо [: дядо], дядо .","['дядо', 'дадо', 'дядо', 'дядо']","Дядо , дадо , дядо .","Дядо , дядо дядо .",,дядо дядо дядо
UTT_037104,SIM,3;00.01,SIM,"Kalojanche, shte ti davam i tuk.","['Kalojanche', ',', 'shte', 'ti', 'davam', 'i', 'tuk', '.']","['kalojanche', ',', 'shte', 'ti', 'davam', 'i', 'tuk', '.']","['kalojanche', 'shte', 'ti', 'davam', 'i', 'tuk']",6,"Калоянче, ще ти давам и тук.","['калоянче', 'ще', 'ти', 'давам', 'и', 'тук']","Калоянче , ще ти давам и тук .","Калоянче , ще ти давам и тук .",,калоянче ще ти давам и тук
UTT_033018,SIM,2;06.02,SIM,"Kalojancho, stoj.","['Kalojancho', ',', 'stoj', '.']","['kalojancho', ',', 'stoj', '.']","['kalojancho', 'stoj']",2,"Калоянчо, стой.","['калоянчо', 'стой']","Калоянчо , стой .","Калоянчо , стой .",,калоянчо стой
UTT_006610,ALE,2;03.12,ALE,"mamo, eto edno slynce .","['mamo', ',', 'eto', 'edno', 'slynce', '.']","['mamo', ',', 'eto', 'edno', 'slynce', '.']","['mamo', 'eto', 'edno', 'slynce']",4,"Мамо, ето едно слънце .","['мамо', 'ето', 'едно', 'слънце']","Мамо , ето едно слънце .","Мамо , ето едно слънце .",,мамо ето едно слънце
UTT_002443,ALE,1;07.20,ALE,majkata goti [: gotvi] pitki .,"['majkata', 'gotvi', 'pitki', '.']","['majkata', 'gotvi', 'pitki', '.']","['majkata', 'gotvi', 'pitki']",3,Майката готи [: готви] питки .,"['майката', 'готи', 'готви', 'питки']",Майката готи питки .,Майката готви питки .,,майката готви питки
UTT_020706,SIM,1;05.16,SIM,"ishi [: svyrshi], syrshi [: svyrshi] .","['svyrshi', ',', 'svyrshi', '.']","['svyrshi', ',', 'svyrshi', '.']","['svyrshi', 'svyrshi']",2,"Иши [: свърши], сърши [: свърши] .","['иши', 'свърши', 'сърши', 'свърши']","Иши , сърши .",свърши свърши .,,свърши свърши
UTT_022511,SIM,1;07.18,SIM,aa topkata .,"['aa', 'topkata', '.']","['aa', 'topkata', '.']","['aa', 'topkata']",2,Аа топката .,"['аа', 'топката']",Аа топката .,Аа топката .,,аа топката
UTT_044198,TEF,2;05.25,TEF,dam gogava [: togava] sojeta [: soleta] .,"['dam', 'togava', 'soleta', '.']","['dam', 'togava', 'soleta', '.']","['dam', 'togava', 'soleta']",3,Дам гогава [: тогава] сойета [: солета] .,"['дам', 'гогава', 'тогава', 'сойета', 'солета']",Дам гогава сойета .,Дам тогава солета .,,дам тогава солета
UTT_024835,SIM,1;09.02,SIM,"Arina, Arina, Arina .","['Arina', ',', 'Arina', ',', 'Arina', '.']","['arina', ',', 'arina', ',', 'arina', '.']","['arina', 'arina', 'arina']",3,"Арина, арина, арина .","['арина', 'арина', 'арина']","Арина , арина , арина .","Арина , арина , арина .",,арина арина арина
UTT_027069,SIM,1;10.12,SIM,dobro utro !,"['dobro', 'utro', '!']","['dobro', 'utro', '!']","['dobro', 'utro']",2,Добро утро !,"['добро', 'утро']",Добро утро !,Добро утро !,,добро утро
UTT_007166,ALE,2;03.12,ALE,na sedem i polovina .,"['na', 'sedem', 'i', 'polovina', '.']","['na', 'sedem', 'i', 'polovina', '.']","['na', 'sedem', 'i', 'polovina']",4,На седем и половина .,"['на', 'седем', 'и', 'половина']",На седем и половина .,На седем и половина .,,на седем и половина
UTT_031954,SIM,2;05.21,SIM,"da, tova e mojata bukvichka na ablijski [: anglijski].","['da', ',', 'tova', 'e', 'mojata', 'bukvichka', 'na', 'anglijski', '.']","['da', ',', 'tova', 'e', 'mojata', 'bukvichka', 'na', 'anglijski', '.']","['da', 'tova', 'e', 'mojata', 'bukvichka', 'na', 'anglijski']",7,"Да, това е моята буквичка на аблийски [: английски].","['да', 'това', 'е', 'моята', 'буквичка', 'на', 'аблийски', 'английски']","Да , това е моята буквичка на аблийски .","Да , това е моята буквичка на английски",,да това е моята буквичка на английски
UTT_007748,ALE,2;04.09,ALE,eto gi ustata mu na Roli .,"['eto', 'gi', 'ustata', 'mu', 'na', 'Roli', '.']","['eto', 'gi', 'ustata', 'mu', 'na', 'roli', '.']","['eto', 'gi', 'ustata', 'mu', 'na', 'roli']",6,Ето ги устата му на роли .,"['ето', 'ги', 'устата', 'му', 'на', 'роли']",Ето ги устата му на роли .,Ето ги устата му на роли .,,ето ги устата му на роли
