id	lowercased_utterance
UTT_018033	ела да ти съблека това че стана горещо
books_27273	този съвет допаднал на съдията
books_35531	слушай приятелю аз те съжалих когато беше гладен
books_45529	ти лежи в гнездото и чакай
books_44036	срамота е да ходиш гол
books_62345	лиско
books_79753	кой ще влезе през комина
books_6933	той искаше да си поиграе с човека от горната земя тъй както котаракът си играе с мишката преди да я налапа
UTT_019195	какво прави топ и после там
books_5887	но прекъсна го средният аз не съм съгласен да поим сиромасите с вино без пари
books_13287	шета и пее
books_16798	какво ли
books_7956	а тя ръце дигна за глава се хвана
books_81358	каза алиса
UTT_032276	нали си му кака
books_1731	има опасност прозорецът да се затвори от вятъра а от тази страна няма дръжка
UTT_013214	благодаря ти мило виле ти си много добро момиче понякога
books_74162	не говори за дишане казало
books_40103	тя подигна едно от червените листа и видя малка мургава главичка
books_52736	след туй още един поток до него
books_44542	когато влязох в къщи мама ахна
books_30996	попитал той
books_72409	ето росето влиза във нея
UTT_013950	а как казваш ти
books_11336	и майка й плаче
UTT_022066	този бански на мен ще ми стане ли
books_46216	дядо мърморан всеки ден изкарваше козичката от кошарата и тръгваше подире й
books_107283	той знаеше че има три медала за спасяване на давещи се за храброст и за труд
books_85682	и че самият одисей се крие зад овните
books_60986	никога дотогава
books_26923	паса много и е сита отвърнал синът
books_56429	да затварям ли кутиите
books_38407	тук е тъй пусто и тъй тъжно
books_14677	сега какво ще правиме
books_63188	да в клоните една катеричка гризеше нещо и го наблюдаваше
books_14784	боилите които придружаваха хана се втурнаха към него и го отнесоха към аула
books_17215	време е вече
books_11070	всички патиланци хукнаха навънка
books_56160	отварят се врати консерви писма тенджери лимонади или прозорци
UTT_001040	саше баба стефания
books_74646	неговите бодли го пазеха и го правеха неуязвим
books_10320	да вървим че вънка ни чака колата
books_20795	докторът погледна свежото личице на пипи и каза
books_43771	сутринта дядо пейо воденичаринът станал измил си очите и отишъл да пусне воденицата
books_30274	един ден царицата решила да ожени сина си
UTT_010383	там е бебето
UTT_018473	а виж какви опашки има
books_13072	защо се въртиш над главата ми
books_53271	добре но защо ми я разказахте
books_65646	ясно ли ти е
books_109359	при тези думи самовилата хвана княза за крайчеца на ръкава и затанцува с него
books_62590	не знам
books_86885	малката ида зарида по-силно и посочи кокошката
books_63753	лиско не трепна и този път
books_13203	една червена искра се завъртя покрай веригата нагоре и хвръкна през комина
books_39357	не знаете ли къде отнесоха ония дървета
UTT_021667	аз ли да седна там
books_89221	какво му е на емил
books_67937	подпирам отвърна лисичето
UTT_022525	защото мога
books_74773	всяка сутрин орелът се издигаше високо към небето където описваше плавни и широки кръгове
books_2247	защото сега сме вече
books_43886	опустяха разкаляните селски пътища
books_92906	спомни си как самата тя се бе опитвала да пее вълчата песен на бирк
books_77812	я елате най-отпред
books_5108	аз остарях и няма кой да ми дои козите
UTT_026985	xайде да търсим прасетата къде са
books_91922	три дни са ми предостатъчни
books_37882	целуна ме горещо
books_104420	възкликнали възторжено младите кокошки
books_106325	ако сте добър другар ще се радваме да се сприятелим с вас
books_6541	под запушалката висеше червен печат с изобразена крокодилска глава
UTT_041210	само xимикал
books_62687	запита мокси
books_105578	виква на сина си
books_96428	онзи същият
books_95375	другите котки са заточени на острова но поне са заедно
books_83886	но как можеш да разговаряш с някого щом той казва винаги едно и също нещо
books_96580	това е моя отдавнашна мечта лично от свое име да подаря нещо на някой музей
UTT_039503	стефи къде отиваме
books_97891	вратата на парка беше отворена лукчо остави кучето на тревата помилва го нежно и каза
books_24140	върнала се при пилетата и си рекла
books_6800	педя човек се показа отново
books_44086	пъшо му начете двайсет и пет лева за влака и на тръгване му рече
books_41852	изписка тя
books_14663	с жален глас иван позова агънцето си
UTT_008388	къде отиваш
books_75843	тя се наежи от възмущение разкряка се и литна из гората да разнесе новината
books_107849	я кметът по чорапи
books_18296	осем и четири прави дванайсет
books_108447	цял ден румцайс трябваше да се катери по дърветата и да събира кукувичките от гнездата
books_55092	това е най-малкото кейче което съм виждал и принадлежи на твоя автор
books_95692	на мен не ми трябва мляко
books_37733	на отсрещния бряг се виждаха няколко жалки дървени колиби на холандски гемиджии и затова самото място се наричаше холандският нос
books_570	почти тичешком излезе от къщата и препусна по стъпалата които извеждаха на улицата
UTT_037523	вчера бабо видяxме ли кравата с теленцето
UTT_004216	на кого е таз кукла
books_50140	аз нищо не чух защото бях прав
books_78786	всичко навън
books_42952	аз преди да се пръкна дълго време живях в яйцето
books_69993	а термометъра няма ли да погледнеш
UTT_004124	ето я и снежанка
books_38962	говореха сякаш очите на малката морска русалка когато той я хващаше за ръцете и я целуваше по хубавото чело
books_29664	на края на селото е къщата на попа
books_109224	и румцайс пое дъх и силно изсвири
books_9535	лъжици паници стават за играчки
books_73142	а некааз гледаше тъжно към небето и говореше
books_52823	да ти кажа правата само това чувам как много и силно реве
books_88603	сам разбираше колко беше ужасен
books_97783	винаги ли са така немирни
books_7126	нека те изядат
books_14726	размирни години
books_36723	младата принцеса го следвала неотклонно
books_47485	какво правиш
UTT_017221	какво е направило с устичка
UTT_027967	как правиш
books_73909	и в миг заблестява със хубост такава
books_26213	и тъй като то се появило на бял свят неочаквано кръстили го райналд а това значи чудотворец
books_36600	трябва ми кратко отговорил момъкът взел камъка и се върнал в двореца
books_13873	дигаше нагоре очи някоя стара жена
books_48766	на два пъти проигра и нея
books_56372	виждате ли това място
books_52332	а вие
UTT_037456	ежко боцка ли ти
books_75542	в него падаха с шеметен рев пенливите води на един водопад
books_82776	и отма равапсатваха прасурси
books_87764	готфрид не се замисли
books_99063	стига сте приказвали господин лукчо
books_69810	тъкмо се излегна на сянка човекът се приближава измъква щърбавия си трион изпод палтото и почва да реже дървото
UTT_044557	на какво мирише
books_57600	сега де
books_85267	нова мисъл
books_32203	рибката помислила и казала
books_54517	по изражението на очите му разбираха колко решителен момент преодолява
books_62722	дддобър
books_6535	нали обещаваш
books_73360	тя получи разбира се най-много аплодисменти и букети и изчезна
books_43795	земята на българите
UTT_012601	да дани да
books_109809	чакай ме довечера
books_28341	ако излезеш по-силен от мене ще те пусна да си отидеш
books_102368	такова живо дете като него рядко се срещало
books_94065	ето ги идват
UTT_037072	кака утре какво има
books_93398	правят си каквото си знаят и не ти остава друго освен да свикнеш
UTT_001129	и ябълки има да
UTT_032739	не можем да отидем на плаж
books_30068	а сега се издигаме по небесната стълба
books_28231	момъкът отвърнал
books_17168	много дълга
books_9898	иначе кой знае що щеше да стане
books_14374	под селището се виеше корито на пресъхнала река
UTT_015682	аз да свирна
books_78611	на всички братя и сестрички
books_83716	в този миг вратата се открехна и едно същество с голяма човка подаде за миг глава и каза
books_87216	майката на емил се разплака
books_34074	ей шивачо защо си провесил така нос
books_33176	старецът посочил на царя кокошката с бялото перце царят наредил на готвача да отнесе птицата в кухнята и да й отреже главата
books_42524	а скъпоценният камък от главата на жабата
books_60761	извика повторно лиско
books_53664	сигурен съм че е тя
books_40091	извика враната
books_19868	или ако някой лъв се скрие зад големия камък
books_22213	томи хукна към прозореца
books_96247	но маншон внезапно се загрижи
books_18880	сега зрителите не издържаха вече и започнаха да се смеят
UTT_020383	къде е бати
UTT_028691	добре мамо започвам
books_2787	извика понго
UTT_020541	яде ли мечето
books_93189	да да съгласи се матис няма да ми е лесно но идвай
books_107964	на една бука бе закована табела
books_87384	вие може би не знаете какво е това варена кървавица
books_16054	и забрави двамината старци които си бяха дали плюнката за да го изучат
books_64829	а онези защо избягаха
books_100472	отвърна затворникът
books_4864	тя ще ти покаже правия път
UTT_015108	какво е това
books_71556	значи не беше под лавината
books_77301	посрещни ме
UTT_042057	трябва да се събличам
books_2483	казаха че не им било много студено
books_56831	усмихна се чарли а другите прихнаха
books_55582	по негови пресмятания бяха поне един милион
UTT_000540	буба лази буба лази
books_44498	от село владиня ловешко
books_45237	тогава птичката се накокошини и почна да се надува
UTT_028741	много са вкусни кексчетата нали
books_32337	ще ми бъдеш гост и ще се наядеш до насита
books_53373	момчето
books_73487	разрешете гражданко
UTT_003768	какво прави то мамо
books_48846	изнеси къщурката на брега
books_85963	самата нужда дава когато глад настане
books_84242	но бе приготвил изненада
books_16642	само едно гърне се препичаше на огнището
books_58778	така ли
books_54395	не ми се щеше да го изядете
books_22747	не е турски отсякъл мишокът мореплавател
books_83152	осма глава
books_93532	утеши ме роня
books_40310	бедното момиче остана самичко без обувки и без ръкавици сред страшната и студена финландска земя
books_66178	всеки се премести на сянка полегнаха си заспаха си сладко и се събудиха чак след два часа когато чуха стъпките на лиско
books_46566	кувер страшилище за дивите зверове ти по цели дни бродиш в дълбоките лесове и дебнеш глиганите и мечките
UTT_016389	това е стол
UTT_032334	добре вдигни го
books_90981	няма стига само да се държиш на едно въже разстояние
books_66265	второто нощно приключение обещаваше да мине лесно и без много страхове защото какво е едно привидение пред един килигариконд
books_5455	и замръзна на мястото си
books_28552	на другата сутрин тръгнало из гората набрало коприва и започнало да шие
books_59191	марийкее
books_49504	тогава се случи нещо страшно
books_57618	кой е глупак
books_49093	да видим сега какво стана с плъха
books_20036	това не е вярно
books_2096	всичката храна бе погълната точно за петдесет и девет секунди
UTT_031057	понеделник да
books_75333	бързоходко бе принуден да се приближи и да се поклони на главатаря
books_14497	обади се един от бунтовниците
books_1213	ако се обърна към вас това вляво ли е
books_31212	вървял вървял и срещнал един конник въоръжен до зъби
books_64085	затова трябва да бъдем бдителни всичко подозрително може да се окаже питон
books_3202	попита мисис душкинг
books_63546	да но го нарекох подлец
books_21411	казваха лелките и смръщваха нос
UTT_030631	за шоколадче
books_43404	и в тоя миг котаракът както предеше като скочи с все сила та удари с лапа
UTT_032697	много си страшна
books_27547	скоро от огнището при тях скочило и едно разжарено въгленче
books_55381	прочутият ленив рак лежеше върху скалата
books_70777	виж за наистина си малък
books_85552	че съм склонна да я следвам до смъртта
books_98536	надясно или наляво все ми е едно
books_3627	хитър петър бил гладен но си нямал пари
books_38715	морето имаше зеленикав цвят и по него плуваха големи ледени планини
books_109604	каза румцайс и зачака да види какво ще стане по-нататък
books_13791	пред една къща белият скитник видя автомобил
books_741	през оградата се дочувало скимтене и шумно дишане
books_94871	следите остават там където е минал някой
books_12000	дума да не става
UTT_023588	какво ще правиш на леглото
books_35369	вижте вижте
books_53273	не разбирам поуката
books_109573	най-тайният съветник излъчи такава ученост че по тайната стаичка преминаха пламъчета и каза
books_51796	излязоха от дома на шефа
UTT_042670	виж мамо какво мъничко зайче
books_63877	димби каза че си отиват понеже им станало напълно ясно
books_29718	когато разбойниците се върнат ще те разкъсат на парчета ще те сварят и ще те изядат
books_102464	какъв хубав младеж
books_9679	весел патиланчо
books_33133	били много много бедни
UTT_035294	накрая като разбъркаме всичко и ще стане много много вкусно
books_41085	по лицето му се търкалят топли сълзи които светеха като най-чисти брилянти
books_28841	после занесли вързопа на пазара
books_80584	първо се замисли но след като се взря добре можа да различи една усмивка и си рече
books_42813	невинните души веднага се сближават каза ръкавичарката и помилва кученцето и детето
UTT_016590	като изядеш бонбона тогава
UTT_023925	бръмчи колата мамо
books_69119	извикаха слушателите
UTT_024877	да обаче ти не ги ядеш маме ти ги даваш на мен
books_76724	тогава си изкопаха по една дупка в слога заровиха се и сладко заспаха
books_20157	капитанът изчезна в стаята на пипи а децата седнаха върху сандъка за дърва и зачакаха
books_71420	но работата е другаде и за да ти я изясня ще ти изпея една песен
books_34951	веднъж те започнали да спорят
books_97596	за нещастие обаче той не знаеше да смята и затова от време на време молеше майстор
books_101754	сигурен съм че трябва малко жълто
books_1662	попита понго
books_90191	и с друго ако се наложи повтори пер черепа и изхихика като си представи как щяха да спрат стражниците на вълчата прегръдка
books_333	леля пудинг приготви закуската а леля иконом изведе понго на разходка
books_56373	кое място
books_69417	пътешествениците се осведомиха накъде бе тръгнало лисичето и напуснаха гората
books_7387	легнах си спокойно
books_92248	дай го де
UTT_007118	xайде разкажи им една xубава приказка
books_88567	за какво ти е тази таратайка
books_22287	добър лов ли удари джузепе
books_106511	попита чебурашка
books_60395	ами да
UTT_042019	не си рови в гащите
books_73159	край да има мислех аз
books_26824	защо толкова се изплаши чедо
books_46180	чеда мои повиках ви да се простя с вас
books_8294	твой приятел вечен
books_94228	по-слаб или по-силен
books_82639	последният стих е много дълъг за това стихотворение прибави
UTT_041562	xимикал искаш ли да рисуваш
books_66486	той много обича проклетиите
books_16740	нищо не му сторила но прегазеното стига
books_46652	пуснали подире му най-бързата конница по драгижевския път гдето двама пътници го срещнали яхнал на бял кон
books_93625	направо крилата мисъл
books_106076	то червеният молив
books_96390	някои даже се гушеха на калника точно там където мъхеста брада беше оставил наумката
books_62070	само туй липсваше
books_64445	в началото на полянката има една дупка
books_4288	вълкът кривнал настрани и се сринал по един сипей подгонен от съборените камъни които го удряли по кълките
books_91417	ала в този миг чу конете
books_93090	вярно ли е роня ще дойдеш ли с мен у дома
books_107775	запита ги румцайс
books_30943	запял и селянинът от кошницата
books_77534	чук чук яйчице
UTT_037913	стефи умната
UTT_011885	айда пляс пляс ръчички
UTT_031572	какво правиш
UTT_024869	мони виж колко котета имаме
books_104798	картините му били изложени в музеите и посетителите много ги харесвали
books_18713	как да не се разсърди човек на господин нилсон ядосваше се пипи
books_65375	понякога идва по два пъти
UTT_029382	добре слагам го на столчето
UTT_032785	видя ли я
books_27887	графът не знаел да плаче ли или да се смее
UTT_032555	какъв цвят
books_22519	като надничала любопитно в кухненското чекмедже с покривките и салфетките паднала вътре и там заспала
books_45519	уплаши се нощният разбойник и размаха криле
books_40445	е какво има
books_4951	другарят му рекъл
books_84050	спорели двамина по подобни тези
books_63524	димби и домби се заразхождаха ядосано край него размахваха ръце тюхкаха се питаха се какво да правят
books_58967	но как е попаднал в ръцете на маймунката
UTT_018658	а ще
books_73753	дълбоко за теб искам да кажа
books_27699	попитал единият момчето
books_47972	дръж се рилчо
books_88525	но каквото човек не може да получи по един начин трябва да си го набави по друг рече си емил
books_77627	пей напей се ти на воля
books_44775	и белокосата бабичка разтвори страшната си ножица
books_12593	то и без туй е мъничко не го бива за болярин
books_100982	ясно ли е
books_57844	така ли
books_12100	дори се потрети
books_51097	никой на света не може тъй хубаво да грачи
books_91488	може да са жадни
UTT_034108	не маме твоите нокти не са порастнали още
UTT_038225	още конче
books_109133	в деня когато циписек за първи път тръгна по света княгинята пак гледаше от прозореца а на кегелбана се канеха да играят
books_32090	гневът на магьосницата преминал и тя казала
books_96316	показа се и брадата на мъхеста брада а след нея изпълзя и той самият
UTT_002907	каква е кака течи
books_89244	тя протегна крехката си ръчица и помилва лота
books_55425	аз съм глупаво и незначително животно
books_62643	ела да видиш какво ще ти покажа
UTT_035160	сега в отпуск ли си доктор колева
books_45603	парцалите на ръкавите му се развяха
books_98169	много ми е приятно госпожице
books_88716	съгласи се той
books_27007	легнал си и момъкът като преди това поставил вълшебната масичка до стената
books_24513	пораснахте вече и трябва сами да си търсите храна
books_39875	а какво разказа малкото кокиче
books_75185	ей остроноско
UTT_037185	ау ау моя вода
books_12465	гюро се изправи втрещен
books_75807	чичо рунтавелко не знаеше какво бе станало след неговото раняване
books_46364	нося есенен мед ала не мога да намеря вратата
books_4312	питай орлите я щъркелите които летят над облаците
UTT_042499	xубаво подреждай бабо
books_66580	някой викаше за помощ
books_96273	и полуобувка напрягаше всички сили да стигне горе преди свраката да пристъпи към отбрана
books_44080	искри светулкат нагоре в комина пък аз стоя гълтам топлинка и се протягам
books_67311	с какво
UTT_035917	каква е тази пилешка пръчка
books_67229	господа какво има
books_101875	а онази овнешка плешка е много препоръчителна за уплътняване на ниските тонове
books_107654	така е
UTT_024623	какво правиш мони
books_58228	запита ги лиско
books_54133	никой няма да те укори нито ще те разпитва
books_80587	алиса почака докато се явят очите и тогаз кимна
books_60874	война на нерви мокси
books_97900	мисля че цялата история ще завърши зле
books_91254	разтвори кожената торбичка и му подаде хляба
books_99530	той хъркаше дълбоко и не се пробуди когато лукчо и мечока почукаха предпазливо на вратата
books_29395	не бързай да се радваш дъще
books_66333	не треперете обърна се домби към приятелите си
books_108632	той разгърна клоните на дъба и двамата с манка поеха по старата пътечка обратно към разбойническата пещера
books_60245	цялата полянка блесва
books_107204	ей ти ставай
books_26303	ако изпаднеш в беда потъркай ги една в друга и аз ще ти дойда на помощ
books_101676	седемте котета останали за миг разколебани
books_53233	всяка сряда и събота държахме ръцете си
UTT_000048	ей там какво има
books_83793	да ви дам ли малко сладкиш
books_87940	да сега наистина вече си видял фойерверк
books_108038	после отвори кутията с пчелите и викна
UTT_016809	какво е това
UTT_032832	салфетка ли
UTT_041685	ама леля сега какво има един два
UTT_031483	тази друга песничка ли е
books_53376	така не бива да продължава
books_108788	кобилата беше гладна и го погълна без да хрупне
books_14805	ръката му тежеше върху одъра черна и корава
books_60327	мокси се опули
UTT_035082	тази ли
books_99056	добре казвайте но хич не си представяйте че имам намерение да ви помогна
books_73867	ами нещо за света
books_71411	ама ти не си огромно и къдраво
books_84426	забъркахме ги вече
books_41666	само един човек видя това архиепископът
books_68439	някой пречи ли ти
books_68746	запуши ушите си
books_68853	заблуждавате ме
books_63494	отдалеч те не миришеха на нищо
books_40165	те няма да те убият дори и когато аз ти се разсърдя защото тогава аз сама ще те убия
UTT_025384	сама ли си
books_30506	само че когато успявах да я хвана на мен ми ставаше драго а за нея беше мъка
books_67207	виж това дето го каза е вярно съгласи се мокси и отново се почувствува тъжен
books_34368	още не изрекла тези думи и момиченцето се превърнало във врана
books_11723	почакай бай гого
books_5561	къде отиваш братче с този крилат змей
books_104443	техните съпруги също не носят опашка забележете
UTT_032782	ей там до прозореца
books_90619	аха боиш се дали ще намериш пътя към своето свърталище на крадци
books_78863	ран босилек
books_70465	има едно стихотворение
books_59867	учуденото магаре поклати опашка
books_62337	там изчезна домби
books_55692	обърна се димби към приятелите си
books_41795	помоли птичката
books_51202	ловецът и животните
books_106736	все ми е едно
books_39651	но бабата помилва главата му и започна да разказва други приказки
books_20669	казвай пипи
books_56663	и вече няма ли
books_81251	всеки който е по-висок от един километър трябва да напусне съдебната зала
books_96093	двамата с полуобувка стреснато погледнаха през стъклото навън и съзряха един едър плъх който пробваше силата си като скочи върху фургона
UTT_024589	мони киxа
books_88867	ей сега ще каже
books_9990	на занаят
books_45541	молбата на славейчето му се стори песен
books_97986	той ги пусна да влязат
books_87510	но лина прегърна алфред през врата и започна да му опява както обикновено а той й отговаряше както обикновено
books_20585	видяха я на палубата
books_43594	вярно е чедо
books_19272	после написа на друга картичка
books_15875	срещу обкованата с желязо черковната врата зееше работилницата на дяда марка тюлена
books_109051	а пивоварят внимателно правеше крачка и току стъпкваше яйцата на някоя фазанка
books_60246	сякаш от звезди
UTT_031047	ами няма да дойде утре но ще я поканим да дойде някой ден
books_105011	но аз не
books_32527	нямало какво да се прави те извадили ножичка и отрязали брадата
books_46426	аз съм жълтият ламтурник
books_91902	трети ден вече ходеше там да търси
books_54048	неочаквано откри дълбоката водна ивица
books_18528	тогава чуха гласа на пипи но не отвисоко а някъде дълбоко отвътре
books_1032	прекосяването на полето им бе спестило много километри път и сега се оказа че са навлезли дълбоко навътре в графство есекс
books_23971	моята мисия пропадна
UTT_002835	ела тука да те обуя
UTT_001242	повече не искаш
books_17387	стрелна го с ръка пейчовица и почна да се взира в гърнето
books_255	но дори и да бяха мелези пак не бихме ги издавили възмутено додаде мисис душкинг
books_55062	не баба си
books_52391	не ме наричай магаре помоли се магарето
books_82353	както говореше алиса хвана шала и се огледа за да види притежателя му
books_78580	много му е мило
books_95243	още веднъж се усмихна щастливо и в същия миг заспа
books_58812	повиши глас лисичето
books_63280	запита домби
books_8662	всичко й разказах
books_41632	при залез слънце тя видя пред себе си великолепен град с черкви и кубета
books_30705	селянинът не чакал да го увещават дълго и напълнил джобовете си със злато
UTT_034980	да мамо ама това са желирани червейчета
books_93544	каквито си бяха наивни и двамата матис и бурка се радваха ли радваха та нали бяха родени за разбойници
books_48251	още не съм сложила киселица
books_5611	пристигна вихреното магаре
books_67781	предложи трескаво домби
books_58870	ще паднеш по лице
books_69992	отворил сандъчето на единия отворил на другия
books_94234	горчивото не подхожда на приятното ни настроение
books_84660	не ми подобава
books_89098	между другото емил заобиколи покрай тресавището където винаги имаше много жаби и сега веднага си намери една
books_97006	тъмна работа
books_33224	мечката го посрещнала с протегнати лапи
books_83598	аз мога да събирам каза тя ако ми дадеш много време
books_109591	пожарникарите се приближиха с бъчонката чак до него и я изляха върху му
UTT_029639	ти чукаш с кутийката мамо
books_109668	а където той не можеше да мине промъкваше се циписек
books_2078	изчакай да се върна при майка ти рече понго на късметчето
books_87639	вечно ли трябва да се запилееш нанякъде
books_99119	почти всички гребла са със счупени зъби
books_27	всички много се изненадаха като видяха че леля иконом е обута в панталони
books_7292	а поколенията ще казват
books_91797	като тежко ранена мечка той стоеше и поклащаше тромавото си тяло сякаш се мъчеше да притъпи някакво нетърпимо страдание
books_34765	ханс отворил очи и видял че се намира в родната си къща
books_47467	най-напред тука дойдоха хиляди работници
books_46498	зимната вечер трепна над селото
books_67053	освен другото най-важното
books_82750	алиса беше твърде озадачена за да може да каже нещо
UTT_024181	това цвете е роза
books_33702	той се отправил към най-гъстата част на гората а животните неотстъпно го следвали
books_100389	щом небето започна да се прояснява на изток той го събуди без много церемонии
books_87891	тя се втурна разтревожена към кмета с тортената лопатка в ръка
books_58504	и какви приключения ще си правим без димби
books_34756	ще изпълня всяко твое желание
books_48448	тя трепна като надежда пред очите на дяда ивана
UTT_026440	този батко ли
UTT_017160	тука мами те записва
books_89140	впрочем колко каза че ще ти плати
books_11044	мен не ми се влиза
books_88490	попита тя учудено
books_83828	я сложи я във чинията
books_229	след няколко минути леля иконом отново влезе и зашепна нещо на ухото на мистър душкинг
books_33410	научи ме сойката отговорила свраката
books_21029	и стана тъй че децата които всъщност трябваше да се срамуват се радваха най-много
books_3375	така че далматинците потеглиха за съфък сто и един на брой
books_92578	дълго седя там и всеки миг очакваше тя да го забележи отново
books_72358	че може би пакост е
books_95465	накрая се наведе към ухото на маншон и прошепна
books_71475	каза подсмърчайки светльо
books_13921	една лисица го затисна с лапата си и викна
books_83994	аз езоп и омир тук
books_87897	емил го чакаше до оградата за да се сбогува
books_51973	из лийвърпул а порт ъв инглънд
books_50654	дълго се носил над зелените поляни през горите пресякъл девет реки
books_51743	понякога чувствуваме такова нещо
books_44211	малките щъркчета от горното гнездо до късна доба жумоляха на своя пилешки език като дъждовни капки в утаен вир и му вълнуваха сърцето
UTT_001678	какво още едно
UTT_011763	къде е твойта чаша
books_109621	циписек се вмъкна в пещта и се настани до огнения мъж
books_65440	ако откъснеш ще се увериш рече лиско
books_78402	с пълни шепи хвърля
books_21772	упрекна я аника
books_108880	ти сигурно знаеш кой е най-краткият път за виена
books_109005	водният дух седеше в клоните на една върба и отдалече викна
books_65638	как се бе покачила там проклетничката
books_77604	съчетали име
books_20401	а сега какво ще измислим
books_458	споменът за изгубения любим само я направил още по-нещастна
books_108671	румцайс премери дупката със стебла от тръстика и тръгна към ичин
books_46166	детето пое с жълтата си ръка ябълката допря я до горещите си устни и я целуна
UTT_031773	виж калоянчо ти подава зеленото
books_63569	хайде млъкни
books_13746	обърна се дядо
books_99130	казва се мистер морков
books_51174	от всяка крилата гадинка ще искате по едничко
books_81527	известно време той се бори мълчаливо с молива но алиса беше много по-силна и най-после той рече задъхан
books_60569	все ти винаги ти искаш да разбереш всичко
books_100499	докато пазачът гледаше заплашително тази част на редицата другият й край беше стигнал вече изхода на тунела
